model_code,price,height,depth,width,safety_system,number_of_baskets,capacity,weight,number_of_washing_programs,energy_rating,brand
BOSCH-DW-SMS-6HMW76Q,44800000.0,85.0,60.0,60.0,1,3.0,14,55.30714285714284,7.0,2.0,BOSCH
BOSCH-DW-SMS46NI10M,42000000.0,84.5,60.0,60.0,0,3.0,13,51.6,8.0,2.0,BOSCH
BOSCH-DW-SMS46NW10M,42000000.0,84.5,60.0,60.0,0,3.0,13,51.6,8.0,2.0,BOSCH
BOSCH-DW-SMS4ECI26E,55500000.0,84.5,60.0,60.0,0,3.0,13,54.2,6.0,2.0,BOSCH
BOSCH-DW-SMS4ECW26M,51000000.0,84.5,60.0,60.0,0,3.0,13,57.4,6.0,2.0,BOSCH
BOSCH-DW-SMS6EMI65Q,45000000.0,84.60714285714286,60.0,60.0,0,3.0,13,55.30714285714284,7.0,2.0,BOSCH
BOSCH-DW-SMS6EMW65Q,16899000.0,84.60714285714286,60.0,60.0,0,2.0,6,55.30714285714284,8.0,2.0,BOSCH
BOSCH-DW-SMS6HMI27Q,39500000.0,84.5,60.0,60.0,0,3.0,13,51.5,7.0,2.0,BOSCH
BOSCH-DW-SMS6HMW27Q,39500000.0,84.5,60.0,60.0,0,3.0,13,51.5,7.0,2.0,BOSCH
BOSCH-DW-SMS6HMW76Q,49690863.63636363,85.0,60.0,60.0,1,3.0,14,55.30714285714284,8.0,2.0,BOSCH
BOSCH-DW-SMS6ZCI37Q,61500000.0,84.60714285714286,60.0,60.0,1,3.0,13,54.9,8.0,3.0,BOSCH
BOSCH-DW-SMS6ZCI49E,61000000.0,84.5,60.0,60.0,0,3.0,14,54.0,8.0,2.0,BOSCH
BOSCH-DW-SMS6ZCW37Q,61500000.0,84.60714285714286,60.0,60.0,1,3.0,13,54.9,8.0,3.0,BOSCH
BOSCH-DW-SMS88TI02M,63000000.0,84.5,60.0,60.0,0,3.0,14,61.0,8.0,2.0,BOSCH
BOSCH-DW-SMS8ZDI48Q,72400000.0,84.5,60.0,60.0,0,3.0,13,62.0,8.0,2.0,BOSCH
BOSCH-DW-SMS8ZDI86,49690863.63636363,85.0,60.0,60.0,1,3.0,14,55.30714285714284,8.0,2.0,BOSCH
BOSCH-DW-SMS8ZDW48M,60500000.0,84.60714285714286,60.0,60.0,1,3.0,13,56.9,8.0,2.0,BOSCH
BOSCH-DW-SMS8ZDW86,70000000.0,84.5,60.0,60.0,0,3.0,13,56.4,8.0,2.0,BOSCH
BOSCH-DW-SMS8ZDW86Q,71500000.0,84.5,60.0,60.0,0,3.0,13,56.4,8.0,2.0,BOSCH
CANDY-DW-CDM-1523,27000000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,CANDY
CANDY-DW-CDPN-2D622OW,38888000.0,85.0,60.0,60.0,1,2.0,16,59.0,10.0,2.0,CANDY
CANDY-DW-PFC-315S,25400000.0,85.0,60.0,60.0,1,3.0,15,50.0,8.0,2.0,CANDY
CANDY-DW-PFC-315W,25400000.0,85.0,60.0,60.0,1,3.0,15,50.0,8.0,2.0,CANDY
DAEWOO-DW- DDW-30W1252,31743545.454545453,84.6,60.0,60.0,1,2.0,12,43.0,5.0,2.0,DAEWOO
DAEWOO-DW- DDW-30W‏1252,25000000.0,84.77142857142859,60.0,60.0,0,3.0,12,46.42857142857143,6.0,2.0,DAEWOO
DAEWOO-DW-DDW-110S,29350000.0,84.77142857142859,60.0,60.0,0,2.0,12,51.0,6.0,2.0,DAEWOO
DAEWOO-DW-DDW-110W,29350000.0,84.77142857142859,60.0,60.0,0,2.0,12,51.0,6.0,2.0,DAEWOO
DAEWOO-DW-DDW-2560,31200000.0,85.0,60.0,60.0,0,3.0,15,46.42857142857143,6.0,2.0,DAEWOO
DAEWOO-DW-DDW-2562,35000000.0,85.0,60.0,60.0,0,3.0,15,46.42857142857143,6.0,2.0,DAEWOO
DAEWOO-DW-DDW-3462,31743545.454545453,85.0,60.0,60.0,0,3.0,14,46.42857142857143,8.0,2.0,DAEWOO
DAEWOO-DW-DW-110W,29350000.0,84.77142857142859,60.0,60.0,0,2.0,12,51.0,6.0,2.0,DAEWOO
DAEWOO-DW-DW-200S,34500000.0,84.6,60.0,60.0,0,3.0,12,43.0,8.0,2.0,DAEWOO
DAEWOO-DW-DW-200W,34500000.0,84.6,60.0,60.0,0,3.0,12,43.0,8.0,2.0,DAEWOO
DAEWOO-DW-DW200S,34500000.0,84.6,60.0,60.0,0,3.0,12,43.0,8.0,2.0,DAEWOO
GPLUS-DW-GDW-F443W,25000000.0,84.5,60.0,59.8,1,3.0,14,62.0,7.0,1.0,GPLUS
GPLUS-DW-GDW-F453W,31625000.0,84.5,60.0,59.8,1,3.0,14,62.0,7.0,1.0,GPLUS
GPLUS-DW-GDW-M1352S,30006461.53846154,84.5,60.0,60.0,1,2.0,13,62.0,5.0,2.0,GPLUS
GPLUS-DW-GDW-M1352W,27000000.0,84.5,60.0,60.0,1,2.0,13,62.0,5.0,2.0,GPLUS
GPLUS-DW-GDW-M1463NS,32900000.0,84.5,60.0,60.0,0,3.0,14,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-M1463S,28000000.0,84.5,60.0,60.0,0,3.0,14,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-M1463W,28000000.0,84.5,60.0,60.0,1,3.0,14,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-N1473,29800000.0,84.5,60.0,60.0,0,3.0,14,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-N4673S,30006461.53846154,84.5,60.0,59.8,0,3.0,15,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-P5673,30000000.0,84.5,61.0,59.8,1,3.0,15,62.0,6.0,2.0,GPLUS
GPLUS-DW-GDW-P5673NS,30000000.0,84.5,61.0,59.8,0,2.0,15,62.0,6.0,2.0,GPLUS
GPLUS-DW-GDW-P5993S,37630000.0,84.5,60.0,59.8,1,3.0,15,62.0,8.0,2.0,GPLUS
GPLUS-DW-GDW-P5993W,37630000.0,84.5,60.0,59.8,1,3.0,15,62.0,10.0,2.0,GPLUS
GPLUS-DW-L463S,28000000.0,84.5,60.0,60.0,0,3.0,14,62.0,8.0,2.0,GPLUS
GPLUS-DW-N1362W,24499000.0,84.5,60.0,60.0,0,1.0,13,62.0,5.0,2.0,GPLUS
HIMALIA-DW-MDK16-BETA,35124000.0,84.5,60.0,60.0,1,3.0,15,43.0,6.0,2.0,HIMALIA
PAKSHOMA-DW-MDF-14302,28000000.0,85.0,60.0,60.0,1,3.0,14,46.0,7.0,3.0,PAKSHOMA
PAKSHOMA-DW-MDF-15306W,28450000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA-3511,27500000.0,86.0,66.0,60.0,1,3.0,14,52.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA-3511W,27500000.0,86.0,66.0,60.0,1,3.0,14,52.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA-3512,28800000.0,85.0,60.0,60.0,0,3.0,15,44.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA3311,25500000.0,85.0,60.0,60.0,1,2.0,13,47.142857142857146,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA3511S,27500000.0,86.0,66.0,60.0,1,3.0,14,52.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA3511W,27500000.0,86.0,66.0,60.0,1,3.0,14,52.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDA3512S,28800000.0,85.0,60.0,60.0,0,3.0,15,44.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDB-3512S,28800000.0,85.0,60.0,60.0,0,3.0,15,44.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDB-3512W,28800000.0,85.0,60.0,60.0,0,3.0,15,44.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDV-3513S,33500000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDV-3513W,33500000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PDV3513,33500000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,PAKSHOMA
PAKSHOMA-DW-PVD-3513S,33500000.0,85.0,60.0,60.0,1,3.0,15,46.0,8.0,2.0,PAKSHOMA
SAM-DW-DW-186,32250000.0,85.0,60.0,60.0,0,3.0,15,45.0,7.0,2.0,SAM
SAM-DW-DW-186S,25000000.0,85.0,60.0,60.0,1,3.0,15,45.0,7.0,2.0,SAM
SAM-DW-DW-192ST,39500000.0,85.0,60.0,60.0,1,3.0,15,45.0,8.0,3.0,SAM
X.VISION-DW-M140-S,25000000.0,84.5,60.0,59.8,0,1.0,14,47.5,8.0,2.0,X.VISION
X.VISION-DW-M140S,27900000.0,84.5,60.0,59.8,0,3.0,14,47.5,8.0,2.0,X.VISION
X.VISION-DW-M140W,27900000.0,84.5,60.0,59.8,0,3.0,14,47.5,8.0,2.0,X.VISION
X.VISION-DW-M150-S,28700000.0,85.0,59.8,60.0,0,3.0,14,48.0,8.0,2.0,X.VISION
X.VISION-DW-M150-W,28700000.0,85.0,59.8,60.0,0,3.0,14,48.0,8.0,2.0,X.VISION
X.VISION-DW-M160W,32700000.0,85.0,60.0,59.8,0,3.0,14,43.5,11.0,2.0,X.VISION
ZEROWATT-DW-FCD-3550,29444000.0,84.5,60.0,60.0,1,3.0,13,46.0,8.0,2.0,ZEROWATT
ZEROWATT-DW-ZDM-3315W,32000000.0,85.0,60.0,60.0,0,3.0,15,50.5,10.0,2.0,ZEROWATT
ZEROWATT-DW-ZDPN-3 S641,39777000.0,85.0,60.0,60.0,1,2.0,16,55.0,12.0,1.0,ZEROWATT
